Datetime,Predicted_Temperature,Algorithm
2023-01-11,20.00926103685963,SARIMAX
2023-01-12,20.417621973990883,SARIMAX
2023-01-13,20.659783337417863,SARIMAX
2023-01-14,21.504911982405368,SARIMAX
2023-01-15,23.74474656149967,SARIMAX
2023-01-16,22.740864870478312,SARIMAX
2023-01-17,20.693026656688236,SARIMAX
2023-01-18,21.10447029277945,SARIMAX
2023-01-19,21.344307851201858,SARIMAX
2023-01-20,22.191188230552473,SARIMAX
2023-01-21,24.42970231447921,SARIMAX
2023-01-22,23.426816041213122,SARIMAX
2023-01-23,21.378227460036744,SARIMAX
2023-01-24,21.790236739257633,SARIMAX
2023-01-25,22.029647903681596,SARIMAX
2023-01-26,22.87684970803036,SARIMAX
2023-01-27,25.115121494856734,SARIMAX
2023-01-28,24.11241787037398,SARIMAX
