Datetime,Predicted_Temperature,Algorithm,Actual
3/26/2023,28.88483996,SARIMAX,25.8
3/27/2023,29.73211399,SARIMAX,26.8
3/28/2023,31.97033133,SARIMAX,26.2
3/29/2023,30.96766875,SARIMAX,26.6
3/30/2023,28.91891154,SARIMAX,25.7
3/31/2023,29.33104794,SARIMAX,26.6
4/1/2023,29.57036328,SARIMAX,26.7
4/2/2023,30.41763732,SARIMAX,26.3
4/3/2023,32.65585465,SARIMAX,27
4/4/2023,31.65319207,SARIMAX,26.4
4/5/2023,29.60443487,SARIMAX,26.7
4/6/2023,30.01657126,SARIMAX,26.5
4/7/2023,30.2558866,SARIMAX,28.5
4/8/2023,31.10316064,SARIMAX,28.5
4/9/2023,33.34137798,SARIMAX,27.7
4/10/2023,32.3387154,SARIMAX,26.1
4/11/2023,30.28995819,SARIMAX,26.5
4/12/2023,30.70209458,SARIMAX,28.6
4/13/2023,30.94140993,SARIMAX,28.3
4/14/2023,31.78868396,SARIMAX,27.6
4/15/2023,34.0269013,SARIMAX,28
4/16/2023,33.02423872,SARIMAX,28.3
4/17/2023,30.97548151,SARIMAX,28.4
4/18/2023,31.38761791,SARIMAX,28.5
4/19/2023,31.62693325,SARIMAX,29.3
4/20/2023,32.47420729,SARIMAX,30.2
4/21/2023,34.71242462,SARIMAX,30
4/22/2023,33.70976204,SARIMAX,29.5
4/23/2023,31.66100484,SARIMAX,30
4/24/2023,32.07314123,SARIMAX,30.4
4/25/2023,32.31245657,SARIMAX,29.9
4/26/2023,33.15973061,SARIMAX,28.8
1/1/2023,18.953,RandomForest,19
1/2/2023,19.345,RandomForest,18.6
1/3/2023,19.727,RandomForest,18.2
1/4/2023,18.671,RandomForest,17.4
1/5/2023,17.999,RandomForest,16.4
1/6/2023,17.232,RandomForest,17.9
1/7/2023,16.678,RandomForest,19.9
1/8/2023,16.181,RandomForest,19.4
1/9/2023,15.595,RandomForest,18.8
1/10/2023,15.751,RandomForest,19.4
1/11/2023,16.492,RandomForest,21.3
1/12/2023,16.487,RandomForest,19.5
1/13/2023,16.807,RandomForest,16.2
1/14/2023,17.231,RandomForest,15.2
1/15/2023,17.646,RandomForest,14.3
1/16/2023,18.061,RandomForest,15.9
1/17/2023,18.93,RandomForest,15.7
1/18/2023,19.127,RandomForest,16.9
1/19/2023,19.662,RandomForest,18
1/20/2023,22.232,RandomForest,17.5
1/21/2023,22.797,RandomForest,16.8
1/22/2023,20.784,RandomForest,15.8
1/23/2023,18.457,RandomForest,15.4
1/24/2023,16.409,RandomForest,14.6
1/25/2023,16.261,RandomForest,14.8
1/26/2023,17.103,RandomForest,15.3
1/27/2023,17.215,RandomForest,16.1
