tweet_id,text,favorite_count,retweet_count,created_at
1647550079027277824,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 10:38:43 +0000 2023
1647549618182299650,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 10:36:53 +0000 2023
1647547785493749760,"RT @HBhurgri: Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls in the name…",0,32,Sun Apr 16 10:29:36 +0000 2023
1647545837214650368,"Men cheering in support of love marriage if a Hindu girl marry a Muslim man. On contrary, they kill  Muslim girls i… https://t.co/g71ztfadF0",157,32,Sun Apr 16 10:21:52 +0000 2023
1647545599326318594,"Men cheering in support of love marriage if a Hindu girl marries a Muslim man. On contrary, they kill  Muslim girls… https://t.co/G7cYQag2rU",0,0,Sun Apr 16 10:20:55 +0000 2023
1647545517872939009,"Men cheering in support of love marriage if a Hindu girl marries a Muslim man. On contrary, they kill  Muslim girls… https://t.co/yCBJh5lMXW",0,0,Sun Apr 16 10:20:36 +0000 2023
1647544332650713090,"RT @voice_minority: The man behind our miseries and the reason for rampant #ForcedConversions in Pakistan, especially Sindh. 
#SayNoToForce…",0,67,Sun Apr 16 10:15:53 +0000 2023
1647542291190431744,"@VeengasJ for context, I am talking about #ForcedConversions of girls",0,0,Sun Apr 16 10:07:46 +0000 2023
1647535399860936708,"RT @MalaikaSRaza: Bilawal seeks legislation to stop forced conversions, marriages | 
This was last year &amp; GOS already working on this legis…",0,20,Sun Apr 16 09:40:23 +0000 2023
1647532599315931140,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 09:29:16 +0000 2023
1647531891229356032,"RT @voice_minority: The man behind our miseries and the reason for rampant #ForcedConversions in Pakistan, especially Sindh. 
#SayNoToForce…",0,67,Sun Apr 16 09:26:27 +0000 2023
1647529525239238656,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 09:17:03 +0000 2023
1647528889697316865,"RT @voice_minority: The man behind our miseries and the reason for rampant #ForcedConversions in Pakistan, especially Sindh. 
#SayNoToForce…",0,67,Sun Apr 16 09:14:31 +0000 2023
1647514320828526593,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 08:16:38 +0000 2023
1647509978893393920,RT @FreedomTalkNet: An alarming surge in the kidnapping of #Hindu teenage #girls in #Sindh apparently for #ForcedConversions #ForcedMarriag…,0,4,Sun Apr 16 07:59:22 +0000 2023
1647509600399245312,RT @FreedomTalkNet: An alarming surge in the kidnapping of #Hindu teenage #girls in #Sindh apparently for #ForcedConversions #ForcedMarriag…,0,4,Sun Apr 16 07:57:52 +0000 2023
1647507206605262848,"RT @MalaikaSRaza: Bilawal seeks legislation to stop forced conversions, marriages | 
This was last year &amp; GOS already working on this legis…",0,20,Sun Apr 16 07:48:21 +0000 2023
1647506517178892288,"@HBhurgri So you must  this question to @BBhuttoZardari , @SindhCMHouse  #Sindh Govt &amp; other responsible Govt of Pa… https://t.co/DuvQOy4Icl",2,1,Sun Apr 16 07:45:37 +0000 2023
1647504953487904768,The best explanation of the #ForcedConversions of Hindu girls in Sindh https://t.co/8a72zd6k6s,2,0,Sun Apr 16 07:39:24 +0000 2023
1647499989118078976,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 07:19:41 +0000 2023
1647499725111951360,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 07:18:38 +0000 2023
1647496850885296135,"When any Muslim talks against forced conversion.
Mullahs in his/her comment section

#ForcedConversions https://t.co/2zLHV2yjVC",0,0,Sun Apr 16 07:07:12 +0000 2023
1647494377034620929,"RT @voice_minority: The man behind our miseries and the reason for rampant #ForcedConversions in Pakistan, especially Sindh. 
#SayNoToForce…",0,67,Sun Apr 16 06:57:23 +0000 2023
1647489765288341505,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 06:39:03 +0000 2023
1647487581402324995,"RT @voice_minority: The man behind our miseries and the reason for rampant #ForcedConversions in Pakistan, especially Sindh. 
#SayNoToForce…",0,67,Sun Apr 16 06:30:22 +0000 2023
1647481041182158848,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 06:04:23 +0000 2023
1647478920617545728,"RT @JassiiSharma: This video clearly shows that #SumanLohana forcefully converted to Islam. Quoted words of Sajjad Mahar ""He never meets be…",0,6,Sun Apr 16 05:55:58 +0000 2023
1647472606386462721,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,58,Sun Apr 16 05:30:52 +0000 2023
1647471836182253568,"RT @JassiiSharma: This video clearly shows that #SumanLohana forcefully converted to Islam. Quoted words of Sajjad Mahar ""He never meets be…",0,6,Sun Apr 16 05:27:48 +0000 2023
1647466946152267777,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 05:08:23 +0000 2023
1647457451212673024,"RT @JassiiSharma: This video clearly shows that #SumanLohana forcefully converted to Islam. Quoted words of Sajjad Mahar ""He never meets be…",0,6,Sun Apr 16 04:30:39 +0000 2023
1647456400958713862,"RT @JassiiSharma: This video clearly shows that #SumanLohana forcefully converted to Islam. Quoted words of Sajjad Mahar ""He never meets be…",0,6,Sun Apr 16 04:26:28 +0000 2023
1647455545102684161,RT @HBhurgri: My Hindu &amp; Christian brothers and sisters have been asking these questions for the last several years. Do we have the answers…,0,22,Sun Apr 16 04:23:04 +0000 2023
1647455414207000576,"RT @JassiiSharma: This video clearly shows that #SumanLohana forcefully converted to Islam. Quoted words of Sajjad Mahar ""He never meets be…",0,6,Sun Apr 16 04:22:33 +0000 2023
1647453171151716352,"Not for sale......!
#ForcedConversions #Sindh #Pakistan #Hindu @PakPMO @SindhCMHouse @CMShehbaz @CMSindh… https://t.co/y4wou0kllM",0,0,Sun Apr 16 04:13:38 +0000 2023
